"ID";"FIRST_NAME";"LAST_NAME";"ADDRESS";"CITY";"TELEPHONE"
"1";"George";"Franklin";"110 W. Liberty St.";"Madison";"6085551023"
"2";"Betty";"Davis";"638 Cardinal Ave.";"Sun Prairie";"6085551749"
"3";"Eduardo";"Rodriquez";"2693 Commerce St.";"McFarland";"6085558763"
"4";"Harold";"Davis";"563 Friendly St.";"Windsor";"6085553198"
"5";"Peter";"McTavish";"2387 S. Fair Way";"Madison";"6085552765"
"6";"Jean";"Coleman";"105 N. Lake St.";"Monona";"6085552654"
"7";"Jeff";"Black";"1450 Oak Blvd.";"Monona";"6085555387"
"8";"Maria";"Escobito";"345 Maple St.";"Madison";"6085557683"
"9";"David";"Schroeder";"2749 Blackhawk Trail";"Madison";"6085559435"
"10";"Carlos";"Estaban";"2335 Independence La.";"Waunakee";"6085555487"
